# forras=https://www.solartronics.de generalva=2026-09-19T09:38:52Z penznem=EUR ar=brutto_kiskereskedelmi_inkl_MwSt termek_db=434 keszleten=344
cikkszam;nev;ar;listaar;akcios;kedvezmeny_szazalek;keszleten_van;keszlet_statusz;rendelheto;suly_kg;url;fokep_url;utolso_modositas;netto_ar;ar_tipus;ar_fix;tol_ar;variansos;kiszereles;ean;marka;duplikalt_cikkszam;duplikalt_db
H07RN-1;10 - 50 Meter INVOLT H07RN-F 3G1.5mm² VDE Gummileitung flexibel mit Schutzleiter Anschlussleitung;19.95;;nem;;nem;nincs raktaron (beszerzes alatt);igen;1.6;https://www.solartronics.de/stromverteiler-230v-400v/kabel-und-leitungen/10-50-meter-involt-h07rn-f-3g1.5mm2-vde-gummileitung-flexibel-mit-schutzleiter-anschlussleitung-h07rn-1;https://www.solartronics.de/media/image/24/2c/17/H07RN-1-fba-MAIN.jpg;2026-08-28;16.76;brutto (netto szamitott, 19% MwSt);nem;nem;igen;10 Meter (2,00 € * / 1 Meter);4068508022364;INVOLT;nem;1
H07RN-8;10 - 50 Meter INVOLT H07RN-F 3G2.5mm² VDE Gummileitung flexibel mit Schutzleiter Anschlussleitung;39.95;;nem;;igen;raktaron;igen;3.3;https://www.solartronics.de/stromverteiler-230v-400v/kabel-und-leitungen/10-50-meter-involt-h07rn-f-3g2.5mm2-vde-gummileitung-flexibel-mit-schutzleiter-anschlussleitung-h07rn-8;https://www.solartronics.de/media/image/d8/5a/af/H07RN-20-15m.jpg;2026-07-15;33.57;brutto (netto szamitott, 19% MwSt);nem;nem;igen;15 Meter (2,66 € * / 1 Meter);4068508022432;INVOLT;nem;1
H07RN-13;10 - 50 Meter INVOLT H07RN-F 5x1.5mm² VDE Gummileitung flexibel mit Schutzleiter Anschlussleitung;27.95;;nem;;igen;raktaron;igen;2.38;https://www.solartronics.de/stromverteiler-230v-400v/kabel-und-leitungen/10-50-meter-involt-h07rn-f-5x1.5mm2-vde-gummileitung-flexibel-mit-schutzleiter-anschlussleitung-h07rn-13;https://www.solartronics.de/media/image/4e/91/f5/INVOLT-H07RN-F-5G1-5mm2-10m-gummischlauchleitung-starkstromkabel.jpg;2026-06-04;23.49;brutto (netto szamitott, 19% MwSt);nem;nem;igen;10 Meter (2,80 € * / 1 Meter);4068508022487;INVOLT;nem;1
H07RN-19;10 - 50 Meter INVOLT H07RN-F 5x2.5mm² VDE Gummileitung flexibel mit Schutzleiter Anschlussleitung;38.95;;nem;;igen;raktaron;igen;3.23;https://www.solartronics.de/stromverteiler-230v-400v/kabel-und-leitungen/10-50-meter-involt-h07rn-f-5x2.5mm2-vde-gummileitung-flexibel-mit-schutzleiter-anschlussleitung-h07rn-19;https://www.solartronics.de/media/image/77/0d/94/INVOLT-H07RN-F-5x2-5mm2-Starkstromkabel-gummikabel-10m.jpg;2026-06-04;32.73;brutto (netto szamitott, 19% MwSt);nem;nem;igen;10 Meter (3,90 € * / 1 Meter);4068508022548;INVOLT;nem;1
H05RR-1;2-fach Verlängerungskabel IP44 – H05RR-F 3G1,5 mm²;16.95;;nem;;igen;raktaron;igen;0.78;https://www.solartronics.de/stromverteiler-230v-400v/kabel-und-leitungen/2-fach-verlaengerungskabel-ip44-h05rr-f-3g1-5-mm2-h05rr-1;https://www.solartronics.de/media/image/c8/3f/b2/INVOLT-H05RR-F-2-fach-Verlaengerungskabel-3m-IP44-Schutzkontaktverteiler.png;2026-07-15;14.24;brutto (netto szamitott, 19% MwSt);nem;nem;igen;1 Laufende(r) Meter;4068508022678;INVOLT;nem;1
H05RR-8;3-fach Verlängerungskabel IP44 – H05RR-F 3G1,5 mm²;18.95;;nem;;igen;raktaron;igen;0.78;https://www.solartronics.de/stromverteiler-230v-400v/kabel-und-leitungen/3-fach-verlaengerungskabel-ip44-h05rr-f-3g1-5-mm2-h05rr-8;https://www.solartronics.de/media/image/1b/59/fb/INVOLT-H05RR-F-3-fach-Verlaengerungskabel-3m-IP44-Schutzkontaktverteiler.jpg;2026-07-15;15.92;brutto (netto szamitott, 19% MwSt);nem;nem;igen;1 Laufende(r) Meter;4068508022753;INVOLT;nem;1
H05RN-1;5 - 50 Meter INVOLT H05RN-F 3G0.75mm² VDE Gummileitung flexibel mit Schutzleiter Anschlussleitung;12.95;;nem;;igen;raktaron;igen;0.43;https://www.solartronics.de/stromverteiler-230v-400v/kabel-und-leitungen/5-50-meter-involt-h05rn-f-3g0.75mm2-vde-gummileitung-flexibel-mit-schutzleiter-anschlussleitung-h05rn-1;https://www.solartronics.de/media/image/73/33/c8/H05RN-1-5m.jpg;2026-08-26;10.88;brutto (netto szamitott, 19% MwSt);nem;nem;igen;;4068508022609;INVOLT;nem;1
IV-BST-003;CEE Baustromverteiler Starkstrom Schuko Adapter 4 x 230V 2 x 400 V 5-polig 16A IP44;55.95;;nem;;igen;raktaron;igen;3.0;https://www.solartronics.de/stromverteiler-230v-400v/verteiler-und-adapter/cee-baustromverteiler-starkstrom-schuko-adapter-4-x-230v-2-x-400-v-5-polig-16a-ip44-iv-bst-003;https://www.solartronics.de/media/image/5c/84/5c/involt-baustromverteiler-baustelle-test-starkstrom-400v-230v-seitenansicht-iv-bst-003.jpg;2026-06-10;47.02;brutto (netto szamitott, 19% MwSt);igen;nem;nem;;4068508023125;INVOLT;nem;1
IV-BST-002;CEE Baustromverteiler Starkstrom Schuko Adapter 4 x 230V 2 x 400 V 5-polig 16A Mit FI Schutzschalter;79.95;;nem;;igen;raktaron;igen;3.0;https://www.solartronics.de/stromverteiler-230v-400v/verteiler-und-adapter/cee-baustromverteiler-starkstrom-schuko-adapter-4-x-230v-2-x-400-v-5-polig-16a-mit-fi-schutzschalter-iv-bst-002;https://www.solartronics.de/media/image/5c/84/5c/involt-baustromverteiler-baustelle-test-starkstrom-400v-230v-seitenansicht-iv-bst-003.jpg;2026-07-03;67.18;brutto (netto szamitott, 19% MwSt);igen;nem;nem;;4068508023125;INVOLT;nem;1
H07V-K-10-Set1;H07V-K 10 mm² Verdrahtungsleitung Set 3 x Einzelader Schwarz, Blau, Grün-Gelb mit Aderendhülsen;49.95;;nem;;igen;raktaron;igen;1.68;https://www.solartronics.de/stromverteiler-230v-400v/kabel-und-leitungen/h07v-k-10-mm2-verdrahtungsleitung-set-3-x-einzelader-schwarz-blau-gruen-gelb-mit-aderendhuelsen-h07v-k-10-set1;https://www.solartronics.de/media/image/0b/ae/39/H07V-K-10-mm2-Verdrahtungsleitung-Set-3x5m-Einzelader-farbig-inkl-100-Aderendhuelsen-Spannungspruefer-VDE-INVOLT.jpg;2026-04-10;41.97;brutto (netto szamitott, 19% MwSt);nem;nem;igen;;4068508017872;INVOLT;nem;1
